class_path,version31cbo,version32cbo,version33cbo,version34cbo,version31lcom,version32lcom,version33lcom,version34lcom
duplicate_tree_detector_unittest.cc,1,1,1,1,6,6,6,6
website_settings_infobar_delegate.cc,1,1,1,1,0,0,0,0
profile_list_chromeos.cc,1,1,1,1,0,0,0,0
login_manager_test.cc,0,0,0,0,0,0,0,0
preconnect.cc,0,0,0,0,0,0,0,0
icon_loader_android.cc,1,1,1,1,0,0,0,0
download_protection_util.cc,0,0,0,0,0,0,0,0
pixel_test_utils.cc,0,0,0,0,0,0,0,0
create_dir_work_item.cc,1,1,1,1,0,0,0,0
testing_value_store.cc,1,1,1,1,0,0,0,0
scoped_ui_resource.cc,0,0,0,0,0,0,0,0
website_settings_unittest.cc,3,3,3,3,15,15,15,15
fullscreen_controller.cc,4,4,4,4,2,2,2,1
user_image_manager_browsertest.cc,0,0,0,0,0,0,0,0
extension_manifests_background_unittest.cc,0,0,0,0,0,0,0,0
processes_api_constants.cc,0,0,0,0,0,0,0,0
notification_promo_mobile_ntp.cc,1,1,1,1,0,0,0,0
external_protocol_observer.cc,2,2,2,2,1,1,1,1
json_asynchronous_unpacker.cc,3,3,3,3,0,0,0,0
chrome_render_view_host_test_harness.cc,1,1,1,1,1,1,1,1
browsing_data_indexed_db_helper.cc,3,3,3,2,0,0,0,0
display_layout_store.cc,0,0,0,0,0,0,0,0
cc_test_suite.cc,0,0,0,0,0,0,0,0
system_indicator_manager_factory.cc,0,0,0,0,0,0,0,0
phishing_classifier_browsertest.cc,0,0,0,0,2,2,2,2
dev_tools_server.cc,2,8,8,8,5,6,6,6
mock_error_screen.cc,0,0,0,0,0,0,0,0
dial_device_data_unittest.cc,0,0,0,0,0,0,0,0
autocomplete_action_predictor_unittest.cc,1,1,1,1,2,2,2,3
template_url.cc,2,2,2,2,4,5,5,5
first_run.cc,3,3,3,0,10,11,12,0
first_run.cc,3,3,3,3,10,11,12,10
delegated_renderer_layer.cc,0,0,0,0,0,0,0,0
in_memory_url_index_types.cc,0,0,0,0,0,0,0,0
brightness_controller_chromeos.cc,1,0,0,0,0,0,0,0
prerender_unittest.cc,3,3,3,3,0,0,0,0
jni_registrar.cc,0,0,0,0,0,0,0,0
alarm_manager.cc,0,0,0,0,0,0,0,0
device_id_mac.cc,0,0,0,2,3,3,3,5
extension_function_test_utils.cc,4,4,4,4,0,0,0,0
search_engines_helper.cc,0,0,0,0,6,6,6,6
message_center_notifications_browsertest.cc,2,2,2,2,10,10,10,10
exit_warning_handler.cc,0,0,0,0,0,0,0,0
drag_download_item_views.cc,0,0,0,0,1,1,1,1
uma_policy_browsertest.cc,2,2,2,2,6,6,6,6
drive_integration_service_unittest.cc,0,0,0,0,0,0,0,0
extension_url_rewrite_browsertest.cc,3,2,2,2,5,5,5,5
app_search_provider.cc,0,0,0,1,0,0,0,0
windows_version.cc,0,0,0,0,0,0,0,0
template_url_fetcher_factory.cc,1,1,1,1,0,0,0,0
removable_storage_provider_linux.cc,0,0,0,0,0,0,0,0
thumbnail_service_unittest.cc,2,2,2,2,1,1,1,1
browser_shortcut_launcher_item_controller.cc,1,1,1,1,0,0,0,0
kiosk_app_data.cc,0,0,0,0,0,0,0,0
bookmark_sub_menu_model.cc,1,1,1,1,0,0,0,0
devtools_sanity_browsertest.cc,11,11,13,13,23,24,33,33
kiosk_apps_handler.cc,0,0,0,0,0,0,0,0
local_two_phase_testserver.cc,1,1,1,1,0,0,0,0
unix_domain_socket_linux_unittest.cc,0,0,0,0,0,0,0,0
sync_websocket_factory.cc,0,0,0,0,2,2,2,2
locale_notification_controller.cc,0,0,0,0,0,0,0,0
weak_ptr.cc,0,0,0,0,0,0,0,0
alert_commands.cc,0,0,0,0,6,6,6,6
spellcheck_service_unittest.cc,1,1,1,1,6,6,6,6
test_server_locations.cc,0,0,0,0,0,0,0,0
profile_sync_service_factory.cc,1,1,1,1,0,0,0,0
form_autocomplete_browsertest.cc,0,0,1,1,0,0,0,0
shell_window_launcher_controller.cc,2,2,2,2,1,2,2,2
screen_tray_item.cc,0,0,0,0,0,0,0,0
tabs_api.cc,5,5,4,4,1,1,1,1
time_posix.cc,2,2,2,2,3,3,3,3
file_access_permissions.cc,0,0,0,0,0,0,0,0
private_api_drive.cc,0,0,0,0,0,0,0,0
web_data_service_factory.cc,5,5,5,4,1,1,2,2
url_icon_source.cc,0,0,0,0,0,0,0,0
power_api_unittest.cc,0,0,0,0,0,0,0,0
chrome_quota_permission_context.cc,2,2,2,3,0,0,0,0
drive_uploader.cc,1,1,1,1,0,0,2,2
invalidation_service_factory.cc,0,0,0,0,0,0,0,0
validation_message_bubble_view.cc,1,1,1,1,0,0,0,0
download_extensions.cc,0,0,0,0,0,0,0,0
tab_helper.cc,4,4,4,4,1,1,1,1
signin_manager_factory.cc,3,3,3,3,3,3,3,3
stringize_macros_unittest.cc,0,0,0,0,1,1,1,1
balloon_view_host_gtk.cc,1,1,1,1,0,0,0,0
first_run_actor.cc,1,1,1,1,1,1,1,1
dns_sd_registry.cc,2,2,2,2,0,0,0,0
protocol_handler_registry_factory.cc,1,1,1,1,0,0,0,0
sync_internals_ui.cc,3,3,3,1,3,3,3,1
time_format_browsertest.cc,2,2,2,2,1,1,1,1
security_filter_peer.cc,3,3,3,3,1,1,1,1
browser_commands_mac.cc,0,0,0,0,0,0,0,0
layer_tree_host_unittest_occlusion.cc,0,0,0,0,0,0,0,0
mdns_apitest.cc,3,3,3,3,2,2,2,2
apitest_apitest.cc,0,0,0,0,1,1,1,1
autocomplete_match_type.cc,0,0,0,0,0,0,0,0
chrome_webrtc_log_message_delegate.cc,1,1,1,1,0,0,0,0
file_path_verifier_win.cc,0,0,0,0,1,2,2,2
protocol_handler_registry.cc,5,5,5,5,2,2,2,2
managed_user_service.cc,4,4,3,3,1,1,0,0
history_unittest_base.cc,0,0,0,0,0,0,0,0
net_init_native_callback.cc,0,0,0,0,0,0,0,0
do_not_track_browsertest.cc,0,0,0,0,3,3,3,3
android_usb_socket.cc,2,2,2,2,0,0,0,0
custom_theme_supplier.cc,1,1,1,1,0,0,0,0
caps_lock_delegate_chromeos.cc,1,1,1,1,0,0,0,0
prioritized_resource.cc,0,0,0,0,0,0,0,0
keyword_provider_unittest.cc,2,2,2,2,8,8,8,10
input_method_util_unittest.cc,0,0,0,0,0,0,0,1
database.cc,0,0,0,0,0,0,0,0
signed_in_devices_manager_unittest.cc,0,0,0,0,0,0,0,0
media_galleries_custom_bindings.cc,0,0,0,0,0,0,0,0
x509_certificate_model_unittest.cc,0,0,0,0,3,3,3,3
metrics_service_base.cc,2,2,2,2,0,0,0,0
network_screen_browsertest.cc,1,1,1,1,1,1,1,1
diagnostics_model_unittest.cc,0,0,0,0,0,0,0,0
pickle_unittest.cc,1,1,1,1,18,19,19,19
user_cloud_policy_token_forwarder_factory.cc,0,0,0,0,0,0,0,0
chrome_webrtc_log_message_delegate_unittest.cc,0,0,0,0,1,1,1,1
gtk_tree.cc,0,0,0,0,0,0,0,0
top_sites_api.cc,0,0,0,0,0,0,0,0
chrome_render_widget_host_view_mac_delegate_browsertest.cc,1,1,1,1,2,2,2,2
native_messaging_apitest.cc,0,0,0,0,1,1,1,2
nacl_modules_handler.cc,0,0,0,0,0,0,0,0
spellcheck_provider_test.cc,4,4,4,4,0,0,0,0
simple_thread_unittest.cc,0,0,0,0,0,0,0,0
permission_set_unittest.cc,0,0,0,0,6,6,6,3
sys_string_conversions_win.cc,0,0,0,0,0,0,0,0
chrome_switches.cc,0,0,0,0,0,0,0,0
most_visited_handler.cc,1,1,1,1,1,1,1,0
bluetooth_options_handler.cc,0,0,0,0,0,0,0,0
custom_drag.cc,1,1,1,1,0,0,0,0
accessibility_events.cc,13,13,16,16,3,3,3,3
search_ipc_router.cc,1,1,1,1,0,0,0,0
omnibox_unittest.cc,0,0,0,0,0,0,0,0
scoped_temp_dir_unittest.cc,0,0,0,0,0,0,0,0
pointer_device_observer.cc,0,0,0,0,0,0,0,0
app_window_contents.cc,1,3,3,1,0,0,0,0
chrome_launcher_controller_browsertest.cc,9,9,15,15,39,40,50,50
update_manifest.cc,2,2,2,2,6,6,6,6
wallpaper_manager_util.cc,0,0,0,0,0,0,0,0
component_updater_service_unittest.cc,4,5,0,0,11,11,0,0
media_player_api.cc,0,0,0,0,0,0,0,0
app_mode_utils.cc,0,0,0,0,0,0,0,0
translate_manager_unittest.cc,0,0,0,0,1,1,1,1
caching_permuted_entropy_provider.cc,0,0,0,0,0,0,0,0
browser_view_unittest.cc,2,1,1,2,6,4,4,5
app_restore_service_factory.cc,0,0,0,0,0,0,0,0
user_image_screen.cc,0,0,0,0,0,0,0,0
inline_login_dialog.cc,1,1,1,1,0,0,0,0
camera_detector.cc,0,0,0,0,0,0,0,0
login_prompt_browsertest.cc,5,5,5,5,16,16,16,20
process_metrics_linux.cc,0,0,0,0,0,0,0,0
activity_status.cc,0,0,0,0,0,0,0,0
layer_impl_unittest.cc,0,0,0,0,0,0,0,0
test_panel_mouse_watcher.cc,1,1,1,1,0,0,0,0
tab_node_pool.cc,0,0,0,0,0,0,0,0
extension_install_ui_browsertest.cc,4,4,5,4,7,7,7,7
web_auth_flow.cc,3,3,3,3,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
url_constants.cc,0,0,0,0,0,0,0,0
allocator_shim.cc,0,0,0,0,16,16,16,10
debugallocation_shim.cc,0,0,0,0,0,0,0,0
win_allocator.cc,0,0,0,0,7,7,7,7
generic_allocators.cc,0,0,0,0,13,13,13,13
app_mode_app_tests.cc,0,0,0,0,1,1,1,1
extension_data_type_controller.cc,0,0,0,0,0,0,0,0
history_url_provider_unittest.cc,4,4,4,4,14,14,14,17
web_ui_test_handler.cc,2,2,2,2,0,0,0,0
device_oauth2_token_service_unittest.cc,0,0,0,0,1,1,1,1
delete_tree_work_item_unittest.cc,1,1,1,1,4,4,4,4
overlay_user_pref_store_unittest.cc,0,0,0,0,0,0,0,0
sockets_udp_apitest.cc,3,3,3,3,3,3,3,3
bookmark_utils_gtk.cc,0,0,0,0,21,21,21,21
url_request_post_interceptor.cc,3,3,0,0,0,0,0,0
obfuscated_gaia_id_fetcher.cc,3,3,3,3,2,2,2,2
chrome_exe_main_aura.cc,0,0,0,0,2,2,2,2
resource_provider.cc,0,0,0,1,0,0,0,0
resource_provider.cc,0,1,0,1,0,0,0,0
resource_provider.cc,0,0,0,0,0,0,0,0
